split,instance_type,n,layer_ratio,number_of_instances,repeats,valid_rate,finite_edge_rate,optimality_rate,mean_gap,median_gap,p95_gap,best_gap,mean_runtime_s,median_runtime_s,first_valid_repeat_median
evaluation,random_asymmetric,8,0.25,5,5,1.0,1.0,0.08,0.46030834758854794,0.41136026167038264,0.8670527730582913,0.0,0.021694299999799115,0.021537099997658515,0.0
evaluation,random_asymmetric,8,0.5,5,5,1.0,1.0,0.32,0.25315587393711153,0.25326553348083225,0.589694972720312,0.0,0.025311391999857734,0.024931599997216836,0.0
evaluation,random_asymmetric,8,0.75,5,5,1.0,1.0,0.72,0.08070723415288143,0.0,0.37069885292477617,0.0,0.030728395999758504,0.02882109999700333,0.0
evaluation,random_asymmetric,8,1.0,5,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03228384399990318,0.03215300000010757,0.0
evaluation,random_asymmetric,10,0.0,5,5,1.0,1.0,0.0,0.6555207253382583,0.5291593332381298,1.1527521859745598,0.3622936176161623,0.036363427999749544,0.032439200000226265,0.0
evaluation,random_asymmetric,10,0.1,5,5,1.0,1.0,0.0,0.4110510494956675,0.39115367711804133,0.7750106788687233,0.049875715974107775,0.030631627999828197,0.030380400003195973,0.0
evaluation,random_asymmetric,10,0.25,5,5,1.0,1.0,0.04,0.30740634628699676,0.2699420008779499,0.640748114363696,0.0,0.03851232000000891,0.03821099999913713,0.0
evaluation,random_asymmetric,10,0.5,5,5,1.0,1.0,0.08,0.15292139184898307,0.10935774499478,0.43694231781761855,0.0,0.05236603999917861,0.052397499999642605,0.0
evaluation,random_asymmetric,10,0.75,5,5,1.0,1.0,0.6,0.05464626610814556,0.0,0.2572986931706749,0.0,0.06698787999994238,0.06482680000044638,0.0
evaluation,random_asymmetric,10,1.0,5,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16150307999938376,0.1563356999977259,0.0
evaluation,random_asymmetric,12,0.0,5,5,1.0,1.0,0.0,0.7802157516396687,0.39020121327681245,1.4699341020834575,0.3658722748486521,0.04876131999961217,0.036351499999000225,0.0
evaluation,random_asymmetric,12,0.1,5,5,1.0,1.0,0.0,0.5472496066245099,0.5137253701441205,1.0556982885914081,0.04228380533676408,0.046344408000586555,0.0463837000024796,0.0
evaluation,random_asymmetric,12,0.25,5,5,1.0,1.0,0.0,0.4648380880449662,0.43882461231108727,0.876030214843266,0.04228380533676408,0.05694650000019465,0.05681829999957699,0.0
evaluation,random_asymmetric,12,0.5,5,5,1.0,1.0,0.12,0.17236468811440525,0.16846180819321743,0.3852583058158844,0.0,0.09107792399983737,0.09043770000062068,0.0
evaluation,random_asymmetric,12,0.75,5,5,1.0,1.0,0.32,0.052764355939137884,0.019082588640873827,0.21907245520591634,0.0,0.2739366839999275,0.2662337000001571,0.0
evaluation,random_asymmetric,12,1.0,5,5,1.0,1.0,0.8,0.0038165177281747655,0.0,0.019082588640873827,0.0,0.29633565599986467,0.28059659999780706,0.0
evaluation,random_symmetric,8,0.0,5,5,1.0,1.0,0.0,0.21680705268517836,0.20807293939382882,0.32460071924626566,0.09910151786516745,0.013078644000197528,0.012894300001789816,0.0
evaluation,random_symmetric,8,0.1,5,5,1.0,1.0,0.0,0.22157381381122745,0.20407391580842374,0.35124256978373314,0.10491657791302547,0.017376244000479345,0.01732530000299448,0.0
evaluation,random_symmetric,8,0.25,5,5,1.0,1.0,0.04,0.15156461417799658,0.13280841591411865,0.31809936463697164,0.0,0.022372768000059294,0.021737899998697685,0.0
evaluation,random_symmetric,8,0.5,5,5,1.0,1.0,0.32,0.04491845863363902,0.028642346853161915,0.22048969301329926,0.0,0.025416428000025918,0.025524399999994785,0.0
evaluation,random_symmetric,8,0.75,5,5,1.0,1.0,0.32,0.014597037386222221,0.015015767571084743,0.05017486605154257,0.0,0.028576644000131636,0.028558400001202244,0.0
evaluation,random_symmetric,8,1.0,5,5,1.0,1.0,0.8,0.0007034397963918599,0.0,0.0035171989819591867,0.0,0.03440619200046058,0.032698300001356984,0.0
evaluation,random_symmetric,10,0.0,5,5,1.0,1.0,0.0,0.24878937254596148,0.2826160333061613,0.37259232789169355,0.10679010084428346,0.036340168000315316,0.027714399999240413,0.0
evaluation,random_symmetric,10,0.1,5,5,1.0,1.0,0.04,0.21192140374203405,0.23099397621719986,0.3273795515680094,2.1161435922509237e-16,0.031102144000324187,0.03033740000319085,0.0
evaluation,random_symmetric,10,0.25,5,5,1.0,1.0,0.08,0.14456738291905097,0.16755636984894545,0.25722227047037194,0.0,0.03979303599975537,0.03720410000096308,0.0
evaluation,random_symmetric,10,0.5,5,5,1.0,1.0,0.24,0.05054813462925477,0.04028033545246516,0.12599346291151722,0.0,0.0544502720006858,0.0521080999969854,0.0
evaluation,random_symmetric,10,0.75,5,5,1.0,1.0,0.48,0.03359975018942831,0.011960761098461515,0.1080138711265504,0.0,0.06820235999985017,0.06455219999770634,0.0
evaluation,random_symmetric,10,1.0,5,5,1.0,1.0,0.6,0.008224279054393059,1.7974853563438387e-16,0.023710787174977925,0.0,0.15296761200035688,0.1532705999998143,0.0
evaluation,random_symmetric,12,0.0,5,5,1.0,1.0,0.0,0.2887695505786592,0.26370161867454295,0.41693189295106525,0.13947675451355906,0.04628627599988249,0.035836000002746005,0.0
evaluation,random_symmetric,12,0.1,5,5,1.0,1.0,0.0,0.2812120202064675,0.31061992761372026,0.4228046140651489,0.07478070005948671,0.0469682319999265,0.0463934999970661,0.0
evaluation,random_symmetric,12,0.25,5,5,1.0,1.0,0.0,0.23406206787464243,0.24057536716485298,0.39775285755582745,0.10539279300770754,0.05942180800018832,0.056636499997694045,0.0
evaluation,random_symmetric,12,0.5,5,5,1.0,1.0,0.04,0.0750446788918224,0.07521011769502985,0.18186571126257567,1.6493034203480166e-16,0.09234098399989307,0.09128200000122888,0.0
evaluation,random_symmetric,12,0.75,5,5,1.0,1.0,0.52,0.010393783051321352,1.6493034203480166e-16,0.04523017140931272,0.0,0.2762891959994158,0.273782599997503,0.0
evaluation,random_symmetric,12,1.0,5,5,1.0,1.0,1.0,3.2986068406960335e-17,0.0,1.6493034203480166e-16,0.0,0.29887553600012323,0.3012685000030615,0.0
